currency,nodes,neighbors,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,seed,conflict_check,broadcast_cpu_seconds,hop_p50,hop_p90,hop_p99,hop_max
memo,1000,100,524288000,1000,524288000,0.01,512,0.7464333198038844,524288,14803678,sharded,701622.6662250275,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,1373.6900000000376,2,2,2,3
memo,1000,100,524288000,1000,524288000,0.01,512,0.7434591714090697,524288,12738348,sharded,704477.6581440807,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,1198.580000000025,2,2,2,3
memo,1000,100,524288000,1000,524288000,0.01,512,0.7449721394214348,524288,13636272,sharded,702994.6977704808,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,1225.5200000000236,2,2,2,3
memo,1000,100,524288000,1000,524288000,0.01,512,0.7449598787070885,524288,13276986,sharded,703015.8898072971,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,1207.5500000000259,2,2,2,3
memo,1000,100,524288000,1000,524288000,0.01,512,0.7440987067291727,524288,13187288,sharded,703830.8913371309,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,1216.5300000000218,2,2,2,3
memo,1000,10,524288000,1000,524288000,0.01,512,0.9938605023744184,524288,10331250,sharded,526955.9246481636,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,926.0255000000197,3,4,4,5
memo,1000,10,524288000,1000,524288000,0.01,512,0.9977382569776061,524288,10460954,sharded,524904.807786432,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,942.77500000002,3,4,4,5
memo,1000,10,524288000,1000,524288000,0.01,512,1.0015854789399266,524288,10618878,sharded,522875.28824228386,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,959.8905000000215,3,4,4,5
memo,1000,10,524288000,1000,524288000,0.01,512,0.9892692982176958,524288,10151282,sharded,529371.5118254464,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,914.3835000000166,3,4,4,5
memo,1000,10,524288000,1000,524288000,0.01,512,0.9908450857938703,524288,10232502,sharded,528529.6273941915,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,924.4110000000197,3,4,4,5
memo,1000,150,524288000,1000,524288000,0.01,512,0.7435199328128533,524288,23671802,sharded,704319.5493345449,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,2264.9999999999936,2,2,2,2
memo,1000,150,524288000,1000,524288000,0.01,512,0.7428416769717344,524288,23671964,sharded,705074.2900360037,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,2264.9999999999936,2,2,2,2
memo,1000,150,524288000,1000,524288000,0.01,512,0.7425601403557508,524288,23671882,sharded,705285.0746191335,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,2264.9999999999936,2,2,2,2
memo,1000,150,524288000,1000,524288000,0.01,512,0.7436311080593759,524288,23671842,sharded,704241.791829646,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,2264.9999999999936,2,2,2,2
memo,1000,150,524288000,1000,524288000,0.01,512,0.7432093861746341,524288,23671922,sharded,704696.5145256333,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,2264.9999999999936,2,2,2,2
memo,1000,200,524288000,1000,524288000,0.01,512,0.7441920260102619,524288,41221796,sharded,703679.3377207981,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,4020.000000000206,2,2,2,2
memo,1000,200,524288000,1000,524288000,0.01,512,0.7443391945248325,524288,41221838,sharded,703569.0984058862,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,4020.000000000206,2,2,2,2
memo,1000,200,524288000,1000,524288000,0.01,512,0.7441810556310904,524288,41221842,sharded,703721.3592542855,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,4020.000000000206,2,2,2,2
memo,1000,200,524288000,1000,524288000,0.01,512,0.7441990190644325,524288,41221922,sharded,703759.4119089467,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,4020.000000000206,2,2,2,2
memo,1000,200,524288000,1000,524288000,0.01,512,0.7437776862442121,524288,41221868,sharded,704120.902906524,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,4020.000000000206,2,2,2,2
memo,1000,20,524288000,1000,524288000,0.01,512,0.884024652830508,524288,15541764,sharded,592412.6282261149,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,1434.4320000000237,3,3,3,4
memo,1000,20,524288000,1000,524288000,0.01,512,0.8895753021976759,524288,16386580,sharded,588725.3824450526,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,1538.0100000000293,3,3,3,4
memo,1000,20,524288000,1000,524288000,0.01,512,0.8838354110435641,524288,15508712,sharded,592578.8641819702,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,1440.1240000000246,3,3,3,4
memo,1000,20,524288000,1000,524288000,0.01,512,0.8842527368893845,524288,15526730,sharded,592274.8758938982,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,1443.410000000027,3,3,3,4
memo,1000,20,524288000,1000,524288000,0.01,512,0.8835732422195749,524288,15521434,sharded,592697.9032145231,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,1469.798000000027,3,3,3,4
