currency,nodes,neighbors,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,seed,conflict_check,broadcast_cpu_seconds,hop_p50,hop_p90,hop_p99,hop_max
memo,1000,100,524288000,1000,524288000,0.01,512,0.37085822515748473,524288,14803678,sharded,1412169.1268343986,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,1373.6900000000376,2,2,2,3
memo,1000,100,524288000,1000,524288000,0.01,512,0.36997334778666896,524288,12738348,sharded,1415643.529819885,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,1198.580000000025,2,2,2,3
memo,1000,100,524288000,1000,524288000,0.01,512,0.3705784013478361,524288,13636272,sharded,1413227.16622232,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,1225.5200000000236,2,2,2,3
memo,1000,100,524288000,1000,524288000,0.01,512,0.3709294735102896,524288,13276986,sharded,1411908.9190831638,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,1207.5500000000259,2,2,2,3
memo,1000,100,524288000,1000,524288000,0.01,512,0.3701591500347721,524288,13187288,sharded,1414849.9529210685,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,1216.5300000000218,2,2,2,3
memo,1000,10,524288000,1000,524288000,0.01,512,0.37170975147841695,524288,10331250,sharded,1408950.6070717368,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,926.0255000000197,3,4,4,5
memo,1000,10,524288000,1000,524288000,0.01,512,0.3720794435824063,524288,10460954,sharded,1407542.4402853623,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,942.77500000002,3,4,4,5
memo,1000,10,524288000,1000,524288000,0.01,512,0.3717891436055245,524288,10618878,sharded,1408605.670733787,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,959.8905000000215,3,4,4,5
memo,1000,10,524288000,1000,524288000,0.01,512,0.371886588336096,524288,10151282,sharded,1408200.7806280698,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,914.3835000000166,3,4,4,5
memo,1000,10,524288000,1000,524288000,0.01,512,0.3715733862642698,524288,10232502,sharded,1409387.7639222024,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,924.4110000000197,3,4,4,5
memo,1000,150,524288000,1000,524288000,0.01,512,0.3706523565952547,524288,23671802,sharded,1412848.4945040937,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,2264.9999999999936,2,2,2,2
memo,1000,150,524288000,1000,524288000,0.01,512,0.36997245016853464,524288,23671964,sharded,1415669.106608913,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,2264.9999999999936,2,2,2,2
