currency,nodes,neighbors,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,seed,conflict_check,broadcast_cpu_seconds,hop_p50,hop_p90,hop_p99,hop_max
memo,1000,100,524288000,1000,524288000,0.01,512,0.4920470058198843,524288,14803678,sharded,1064358.74988681,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,1373.6900000000376,2,2,2,3
memo,1000,100,524288000,1000,524288000,0.01,512,0.4904745508650691,524288,12738348,sharded,1067844.142119588,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,1198.580000000025,2,2,2,3
memo,1000,100,524288000,1000,524288000,0.01,512,0.49137853020543626,524288,13636272,sharded,1065800.4609624394,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,1225.5200000000236,2,2,2,3
memo,1000,100,524288000,1000,524288000,0.01,512,0.4916100244990902,524288,13276986,sharded,1065313.1667394817,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,1207.5500000000259,2,2,2,3
memo,1000,100,524288000,1000,524288000,0.01,512,0.49080980586517275,524288,13187288,sharded,1067052.1447239947,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,1216.5300000000218,2,2,2,3
memo,1000,10,524288000,1000,524288000,0.01,512,0.5752723206144159,524288,10331250,sharded,910387.4134612343,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,926.0255000000197,3,4,4,5
memo,1000,10,524288000,1000,524288000,0.01,512,0.5768063396656059,524288,10460954,sharded,907960.9081682714,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,942.77500000002,3,4,4,5
memo,1000,10,524288000,1000,524288000,0.01,512,0.5778893396759248,524288,10618878,sharded,906236.2982741449,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,959.8905000000215,3,4,4,5
memo,1000,10,524288000,1000,524288000,0.01,512,0.5738668365216956,524288,10151282,sharded,912565.3386318333,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,914.3835000000166,3,4,4,5
memo,1000,10,524288000,1000,524288000,0.01,512,0.574180581217871,524288,10232502,sharded,912066.6931807767,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,924.4110000000197,3,4,4,5
memo,1000,150,524288000,1000,524288000,0.01,512,0.4906614429568549,524288,23671802,sharded,1067285.0526917153,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,2264.9999999999936,2,2,2,2
memo,1000,150,524288000,1000,524288000,0.01,512,0.48998161117973466,524288,23671964,sharded,1068935.1519518052,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,2264.9999999999936,2,2,2,2
memo,1000,150,524288000,1000,524288000,0.01,512,0.48970087225975123,524288,23671882,sharded,1069462.2241191473,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,2264.9999999999936,2,2,2,2
memo,1000,150,524288000,1000,524288000,0.01,512,0.49077222908337514,524288,23671842,sharded,1067085.8556485916,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,2264.9999999999936,2,2,2,2
memo,1000,150,524288000,1000,524288000,0.01,512,0.4903497289586342,524288,23671922,sharded,1068088.8212424857,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,2264.9999999999936,2,2,2,2
memo,1000,200,524288000,1000,524288000,0.01,512,0.4903607945222612,524288,41221796,sharded,1067933.1582986626,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,4020.000000000206,2,2,2,2
memo,1000,200,524288000,1000,524288000,0.01,512,0.4905075544608325,524288,41221838,sharded,1067657.4728306604,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,4020.000000000206,2,2,2,2
memo,1000,200,524288000,1000,524288000,0.01,512,0.49034937665508843,524288,41221842,sharded,1068006.05636003,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,4020.000000000206,2,2,2,2
memo,1000,200,524288000,1000,524288000,0.01,512,0.4903665618484318,524288,41221922,sharded,1068052.1567901743,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,4020.000000000206,2,2,2,2
memo,1000,200,524288000,1000,524288000,0.01,512,0.4899457543402116,524288,41221868,sharded,1068913.0610086753,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,4020.000000000206,2,2,2,2
memo,1000,20,524288000,1000,524288000,0.01,512,0.5385272404785103,524288,15541764,sharded,972480.7375290021,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,1434.4320000000237,3,3,3,4
memo,1000,20,524288000,1000,524288000,0.01,512,0.5401048932376761,524288,16386580,sharded,969655.2772565535,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,1538.0100000000293,3,3,3,4
memo,1000,20,524288000,1000,524288000,0.01,512,0.538457726307564,524288,15508712,sharded,972670.9422325967,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,1440.1240000000246,3,3,3,4
memo,1000,20,524288000,1000,524288000,0.01,512,0.5388152661693834,524288,15526730,sharded,971985.6004142278,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,1443.410000000027,3,3,3,4
memo,1000,20,524288000,1000,524288000,0.01,512,0.5381363162675749,524288,15521434,sharded,973158.6443231369,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,1469.798000000027,3,3,3,4
memo,1000,250,524288000,1000,524288000,0.01,512,0.49026623292257665,524288,63771894,sharded,1068241.483566964,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,6274.999999999776,2,2,2,2
memo,1000,250,524288000,1000,524288000,0.01,512,0.4900937575600505,524288,63771870,sharded,1068592.3497726463,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,6274.999999999776,2,2,2,2
memo,1000,250,524288000,1000,524288000,0.01,512,0.4901629040751,524288,63771852,sharded,1068422.8032069956,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,6274.999999999776,2,2,2,2
memo,1000,250,524288000,1000,524288000,0.01,512,0.49038283166685953,524288,63771816,sharded,1067906.0484641164,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,6274.999999999776,2,2,2,2
memo,1000,250,524288000,1000,524288000,0.01,512,0.48978970926776083,524288,63771836,sharded,1069220.161409526,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,6274.999999999776,2,2,2,2
memo,1000,2,524288000,1000,524288000,0.01,512,1.0653825347546513,524288,2656440,sharded,491577.05417107086,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,163.45600000000155,9,12,16,23
memo,1000,2,524288000,1000,524288000,0.01,512,0.92126750105575,524288,2666448,sharded,568498.4126758057,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,164.4556000000012,9,12,14,17
memo,1000,2,524288000,1000,524288000,0.01,512,0.941672448419226,524288,2554592,sharded,556129.6912521071,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,153.2815000000022,9,11,14,18
memo,1000,2,524288000,1000,524288000,0.01,512,0.952421924218198,524288,2598552,sharded,549854.028643741,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,157.67710000000176,9,12,14,19
memo,1000,2,524288000,1000,524288000,0.01,512,0.9656098136154104,524288,2624488,sharded,542324.2065439201,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,160.26659999999734,9,12,15,19
