currency,nodes,neighbors,wallets,miners,transactions,interval,shards,block size,mode,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,conflict_check,n_seeds,tps_mean,tps_std,tps_ci95_halfwidth,tps_n,average block time_mean,average block time_std,average block time_ci95_halfwidth,average block time_n,messages_mean,messages_std,messages_ci95_halfwidth,messages_n,broadcast_cpu_seconds_mean,broadcast_cpu_seconds_std,broadcast_cpu_seconds_ci95_halfwidth,broadcast_cpu_seconds_n,hop_p50_mean,hop_p50_std,hop_p50_ci95_halfwidth,hop_p50_n,hop_p90_mean,hop_p90_std,hop_p90_ci95_halfwidth,hop_p90_n,hop_p99_mean,hop_p99_std,hop_p99_ci95_halfwidth,hop_p99_n,hop_max_mean,hop_max_std,hop_max_ci95_halfwidth,hop_max_n
memo,1000,100,524288000,1000,524288000,0.01,512,524288,sharded,0.146484375,ed25519,gossip,direct,shard,nonce_hash_set,5,1066073.732886,1386.176727,1720.889809,5,0.491264,0.000628,0.000779,5,13528514.400000,781300.012619,969956.574154,5,1244.374000,72.983709,90.606716,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,10,524288000,1000,524288000,0.01,512,524288,sharded,0.146484375,ed25519,gossip,direct,shard,nonce_hash_set,5,909843.330343,2701.984986,3354.419632,5,0.575603,0.001719,0.002134,5,10358973.200000,185640.622869,230466.324937,5,933.497100,17.933228,22.263474,5,3.000000,0.000000,0.000000,5,4.000000,0.000000,0.000000,5,4.000000,0.000000,0.000000,5,5.000000,0.000000,0.000000,5
memo,1000,150,524288000,1000,524288000,0.01,512,524288,sharded,0.146484375,ed25519,gossip,direct,shard,nonce_hash_set,5,1068171.421131,1027.178331,1275.205886,5,0.490293,0.000452,0.000561,5,23671882.400000,63.880748,79.305709,5,2265.000000,0.000031,0.000038,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5
memo,1000,200,524288000,1000,524288000,0.01,512,524288,sharded,0.146484375,ed25519,gossip,direct,shard,nonce_hash_set,5,1068112.381058,473.044020,587.267567,5,0.490306,0.000212,0.000263,5,41221853.200000,46.319542,57.504088,5,4020.000000,0.000061,0.000076,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5
memo,1000,20,524288000,1000,524288000,0.01,512,524288,sharded,0.146484375,ed25519,gossip,direct,shard,nonce_hash_set,5,971990.240351,1371.238907,1702.345029,5,0.538808,0.000764,0.000948,5,15697044.000000,385644.410894,478764.015859,5,1465.154800,42.932235,53.298865,5,3.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5,4.000000,0.000000,0.000000,5
memo,1000,250,524288000,1000,524288000,0.01,512,524288,sharded,0.146484375,ed25519,gossip,direct,shard,nonce_hash_set,5,1068476.569284,487.335732,605.010226,5,0.490139,0.000224,0.000278,5,63771853.600000,30.116441,37.388505,5,6275.000000,0.000086,0.000107,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5
memo,1000,2,524288000,1000,524288000,0.01,512,524288,sharded,0.146484375,ed25519,gossip,direct,shard,nonce_hash_set,5,541676.678657,29603.866756,36752.162699,5,0.969271,0.056127,0.069679,5,2620104.000000,45397.140703,56358.958609,5,159.827360,4.534657,5.629618,5,9.000000,0.000000,0.000000,5,11.800000,0.447214,0.555200,5,14.600000,0.894427,1.110400,5,19.200000,2.280351,2.830976,5
memo,1000,300,524288000,1000,524288000,0.01,512,524288,sharded,0.146484375,ed25519,gossip,direct,shard,nonce_hash_set,5,1068119.789716,696.556997,864.751092,5,0.490322,0.000322,0.000400,5,91321893.600000,11.489125,14.263346,5,9030.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5
memo,1000,350,524288000,1000,524288000,0.01,512,524288,sharded,0.146484375,ed25519,gossip,direct,shard,nonce_hash_set,5,1067764.676985,689.271282,855.706132,5,0.490477,0.000325,0.000403,5,123871877.600000,43.081318,53.483946,5,12285.000000,0.000244,0.000303,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5
memo,1000,400,524288000,1000,524288000,0.01,512,524288,sharded,0.146484375,ed25519,gossip,direct,shard,nonce_hash_set,5,1068143.081597,824.587210,1023.696112,5,0.490320,0.000374,0.000464,5,161421912.400000,14.142136,17.556966,5,16040.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5
