timestamp,run,config,shards_cfg,blocktime_cfg,blocksize_cfg,tps,average_block_time,messages,blocks_generated,block_size_observed,mode,exit_status,Expected Blocktime,average block time,block size,blocktime in configuration file,currency,interval,miners,no. of blocks generated ,nodes,ratio,shards,transactions,wallets
,,,,,,220.5601,,4004,,,conventional,,1200,1133.48,262144,1200,memo,0.01,1000,4,1000,0.944566667,1,1000,1000
,,,,,,137.228,,8008,,,conventional,,600,910.9,131072,600,memo,0.01,1000,8,1000,1.518166667,1,1000,1000
,,,,,,174.8822,,16016,,,conventional,,300,357.39,65536,300,memo,0.01,1000,16,1000,1.1913,1,1000,1000
,,,,,,225.703,,31031,,,conventional,,150,142.93,32768,150,memo,0.01,1000,31,1000,0.952866667,1,1000,1000
,,,,,,204.3542,,62062,,,conventional,,75,78.93,16384,75,memo,0.01,1000,62,1000,1.0524,1,1000,1000
,,,,,,207.2083,,123123,,,conventional,,37.5,39.24,8192,37.5,memo,0.01,1000,123,1000,1.0464,1,1000,1000
,,,,,,201.4932,,245245,,,conventional,,18.75,20.26,4096,18.75,memo,0.01,1000,245,1000,1.080533333,1,1000,1000
,,,,,,572.2479,,417417,,,conventional,,3.2,4.19,2400,3.2,memo,0.01,1000,417,1000,1.309375,1,1000,1000
,,,,,,212.0668,,489489,,,conventional,,9.375,9.65,2048,9.375,memo,0.01,1000,489,1000,1.029333333,1,1000,1000
,,,,,,769.9613,,477477,,,conventional,,2.1,2.72,2100,2.1,memo,0.01,1000,477,1000,1.295238095,1,1000,1000
,,,,,,978.4024,,556556,,,conventional,,1.3,1.84,1800,1.3,memo,0.01,1000,556,1000,1.415384615,1,1000,1000
,,,,,,203.8009,,977977,,,conventional,,4.6875,5.03,1024,4.6875,memo,0.01,1000,977,1000,1.073066667,1,1000,1000
,,,,,,422.3689,,4012,,,sharded,,600,591.9,262144,1200,memo,0.01,1000,4,1000,0.9865,2,1000,1000
,,,,,,725.9352,,8024,,,sharded,,300,172.19,131072,600,memo,0.01,1000,8,1000,0.573966667,2,1000,1000
,,,,,,463.2086,,16048,,,sharded,,150,134.93,65536,300,memo,0.01,1000,16,1000,0.899533333,2,1000,1000
,,,,,,579.9037,,31093,,,sharded,,75,55.63,32768,150,memo,0.01,1000,31,1000,0.741733333,2,1000,1000
,,,,,,407.9902,,62186,,,sharded,,37.5,39.54,16384,75,memo,0.01,1000,62,1000,1.0544,2,1000,1000
,,,,,,374.8809,,123369,,,sharded,,18.75,21.69,8192,37.5,memo,0.01,1000,123,1000,1.1568,2,1000,1000
,,,,,,414.828,,245735,,,sharded,,9.375,9.84,4096,18.75,memo,0.01,1000,245,1000,1.0496,2,1000,1000
,,,,,,1165.1476,,418251,,,sharded,,1.6,2.06,2400,3.2,memo,0.01,1000,417,1000,1.2875,2,1000,1000
,,,,,,393.3115,,490467,,,sharded,,4.6875,5.2,2048,9.375,memo,0.01,1000,489,1000,1.109333333,2,1000,1000
,,,,,,1393.9583,,478431,,,sharded,,1.05,1.5,2100,2.1,memo,0.01,1000,477,1000,1.428571429,2,1000,1000
,,,,,,1802.1188,,557668,,,sharded,,0.65,1,1800,1.3,memo,0.01,1000,556,1000,1.538461538,2,1000,1000
,,,,,,384.79109,,979931,,,sharded,,2.34375,2.66,1024,4.6875,memo,0.01,1000,977,1000,1.134933333,2,1000,1000
,,,,,,622.308,,4028,,,sharded,,300,401.73,262144,1200,memo,0.01,1000,4,1000,1.3391,4,1000,1000
,,,,,,1020.1457,,8056,,,sharded,,150,122.53,131072,600,memo,0.01,1000,8,1000,0.816866667,4,1000,1000
,,,,,,612.8722,,16112,,,sharded,,75,101.98,65536,300,memo,0.01,1000,16,1000,1.359733333,4,1000,1000
,,,,,,735.9743,,31217,,,sharded,,37.5,43.83,32768,150,memo,0.01,1000,31,1000,1.1688,4,1000,1000
,,,,,,856.4317,,62434,,,sharded,,18.75,18.83,16384,75,memo,0.01,1000,62,1000,1.004266667,4,1000,1000
,,,,,,834.9512,,123861,,,sharded,,9.375,9.74,8192,37.5,memo,0.01,1000,123,1000,1.038933333,4,1000,1000
,,,,,,785.9968,,246715,,,sharded,,4.6875,5.19,4096,18.75,memo,0.01,1000,245,1000,1.1072,4,1000,1000
,,,,,,2159.2785,,419919,,,sharded,,0.8,1.11,2400,3.2,memo,0.01,1000,417,1000,1.3875,4,1000,1000
,,,,,,790.5421,,492423,,,sharded,,2.34375,2.59,2048,9.375,memo,0.01,1000,489,1000,1.105066667,4,1000,1000
,,,,,,2579.9213,,480339,,,sharded,,0.525,0.81,2100,2.1,memo,0.01,1000,477,1000,1.542857143,4,1000,1000
,,,,,,2998.5431,,559892,,,sharded,,0.325,0.6,1800,1.3,memo,0.01,1000,556,1000,1.846153846,4,1000,1000
,,,,,,733.8706,,983839,,,sharded,,1.171875,1.4,1024,4.6875,memo,0.01,1000,977,1000,1.194666667,4,1000,1000
,,,,,,1649.5373,,4044,,,sharded,,200,151.56,262144,1200,memo,0.01,1000,4,1000,0.7578,6,1000,1000
,,,,,,925.6737,,8088,,,sharded,,100,135.04,131072,600,memo,0.01,1000,8,1000,1.3504,6,1000,1000
,,,,,,1079.9983,,16176,,,sharded,,50,57.87,65536,300,memo,0.01,1000,16,1000,1.1574,6,1000,1000
,,,,,,1316.0452,,31341,,,sharded,,25,24.51,32768,150,memo,0.01,1000,31,1000,0.9804,6,1000,1000
,,,,,,1293.5255,,62682,,,sharded,,12.5,12.47,16384,75,memo,0.01,1000,62,1000,0.9976,6,1000,1000
,,,,,,1147.42,,124353,,,sharded,,6.25,7.09,8192,37.5,memo,0.01,1000,123,1000,1.1344,6,1000,1000
,,,,,,1179.8651,,247695,,,sharded,,3.125,3.46,4096,18.75,memo,0.01,1000,245,1000,1.1072,6,1000,1000
,,,,,,2987.9319,,421587,,,sharded,,0.533333333,0.8,2400,3.2,memo,0.01,1000,417,1000,1.5,6,1000,1000
,,,,,,1103.5257,,494379,,,sharded,,1.5625,1.85,2048,9.375,memo,0.01,1000,489,1000,1.184,6,1000,1000
,,,,,,3463.5261,,482247,,,sharded,,0.35,0.62,2100,2.1,memo,0.01,1000,477,1000,1.771428571,6,1000,1000
,,,,,,3867.7367,,562116,,,sharded,,0.216666667,0.47,1800,1.3,memo,0.01,1000,556,1000,2.169230769,6,1000,1000
,,,,,,1045.5953,,967747,,,sharded,,0.78125,0.98,1024,4.6875,memo,0.01,1000,489,1000,1.2544,6,1000,1000
,,,,,,1938.4591,,4060,,,sharded,,150,128.97,262144,1200,memo,0.01,1000,4,1000,0.8598,8,1000,1000
,,,,,,1632.9332,,8120,,,sharded,,75,74.28,131072,600,memo,0.01,1000,8,1000,0.9904,8,1000,1000
,,,,,,1642.7656,,16240,,,sharded,,37.5,38.05,65536,300,memo,0.01,1000,16,1000,1.014666667,8,1000,1000
,,,,,,1847.5395,,31465,,,sharded,,18.75,17.46,32768,150,memo,0.01,1000,31,1000,0.9312,8,1000,1000
