currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated
memo,1000,1000,1000,1000,0.01,128,9.08973983208865,262144,5020,sharded,27503.647477064755,4
memo,1000,1000,1000,1000,0.01,32,35.22877765968924,262144,4252,sharded,7096.499413491297,4
memo,1000,1000,1000,1000,0.01,4,235.3346786947619,262144,4028,sharded,1062.321122354691,4
memo,1000,1000,1000,1000,0.01,1,1386.066951459022,262144,4004,conventional,180.36718914395897,4
memo,1000,1000,1000,1000,0.01,2,368.54626331943484,262144,4012,sharded,678.3436026410433,4
memo,1000,1000,1000,1000,0.01,6,202.56485124685287,262144,4044,sharded,1234.1775903428563,4
memo,1000,1000,1000,1000,0.01,256,4.9372629982783565,262144,6044,sharded,50635.5444478401,4
memo,1000,1000,1000,1000,0.01,64,25.23322557110199,262144,4508,sharded,9907.611664452057,4
memo,1000,1000,1000,1000,0.01,9,149.68693409885472,262144,4068,sharded,1670.1591324924652,4
memo,1000,1000,1000,1000,0.01,16,92.41637811360201,262144,4124,sharded,2705.1590324464837,4
memo,1000,1000,1000,1000,0.01,8,162.33661926946468,262144,4060,sharded,1540.0160550653088,4
memo,1000,1000,1000,1000,0.01,32,22.90125125694274,131072,8504,sharded,5458.260712375038,8
memo,1000,1000,1000,1000,0.01,128,4.719990848199049,131072,10040,sharded,26483.314061444664,8
memo,1000,1000,1000,1000,0.01,8,85.68623583128348,131072,8120,sharded,1458.8223976383726,8
memo,1000,1000,1000,1000,0.01,9,66.96898445961007,131072,8136,sharded,1866.550628005862,8
memo,1000,1000,1000,1000,0.01,4,130.8019592868092,131072,8056,sharded,955.6508226754506,8
memo,1000,1000,1000,1000,0.01,1,552.4240827855468,131072,8008,conventional,226.2772458609953,8
memo,1000,1000,1000,1000,0.01,256,2.849179540752812,131072,12088,sharded,43872.6300719442,8
memo,1000,1000,1000,1000,0.01,64,10.74691144445991,131072,9016,sharded,11631.341771634183,8
memo,1000,1000,1000,1000,0.01,6,88.39330365554346,131072,8088,sharded,1414.1455837776093,8
memo,1000,1000,1000,1000,0.01,2,332.9542630982244,131072,8024,sharded,375.4299429502233,8
memo,1000,1000,1000,1000,0.01,16,40.38719610532685,131072,8248,sharded,3095.0650714648905,8
memo,1000,1000,1000,1000,0.01,2,155.37857385197518,65536,16048,sharded,402.24979835085213,16
memo,1000,1000,1000,1000,0.01,1,320.1997436069177,65536,16016,conventional,195.19378527900142,16
memo,1000,1000,1000,1000,0.01,64,5.344171632157822,65536,18032,sharded,11695.170795770999,16
memo,1000,1000,1000,1000,0.01,9,34.83256379257172,65536,16272,sharded,1794.3267217479054,16
memo,1000,1000,1000,1000,0.01,32,10.348554044598547,65536,17008,sharded,6039.587727004484,16
memo,1000,1000,1000,1000,0.01,128,3.0363122335376866,65536,20080,sharded,20584.51015335088,16
memo,1000,1000,1000,1000,0.01,16,20.303847871293463,65536,16496,sharded,3078.2835054810894,16
memo,1000,1000,1000,1000,0.01,4,68.25899902871953,65536,16112,sharded,915.6448364222732,16
memo,1000,1000,1000,1000,0.01,6,53.62222610726556,65536,16176,sharded,1165.580106185323,16
memo,1000,1000,1000,1000,0.01,256,1.4823833066573404,65536,24176,sharded,42162.50933163496,16
memo,1000,1000,1000,1000,0.01,8,18.317927588745857,32768,31465,sharded,1761.0651838119675,31
memo,1000,1000,1000,1000,0.01,9,18.24560567877291,32768,31527,sharded,1768.0456918818263,31
memo,1000,1000,1000,1000,0.01,4,40.96963051467917,32768,31217,sharded,787.389686235291,31
memo,1000,1000,1000,1000,0.01,1,144.64722584503997,32768,31031,conventional,223.01889529971388,31
memo,1000,1000,1000,1000,0.01,32,4.76044275086569,32768,32953,sharded,6776.484080238692,31
memo,1000,1000,1000,1000,0.01,64,2.901675472423223,32768,34937,sharded,11117.392286873868,31
memo,1000,1000,1000,1000,0.01,6,24.02479715938303,32768,31341,sharded,1342.7403487371405,31
memo,1000,1000,1000,1000,0.01,256,0.9686178496706921,32768,46841,sharded,33304.22263754109,31
memo,1000,1000,1000,1000,0.01,128,1.588569457033483,32768,38905,sharded,20306.990275621985,31
memo,1000,1000,1000,1000,0.01,16,10.836867854875885,32768,31961,sharded,2976.788583946288,31
memo,1000,1000,1000,1000,0.01,2,61.89133826286139,32768,31093,sharded,521.2209886158894,31
memo,1000,1000,1000,1000,0.01,64,1.49876511682843,16384,69874,sharded,10762.214890747948,62
memo,1000,1000,1000,1000,0.01,9,9.133466163016454,16384,63054,sharded,1766.0362419011087,62
memo,1000,1000,1000,1000,0.01,256,0.6545770264578886,16384,93682,sharded,24641.91623917651,62
memo,1000,1000,1000,1000,0.01,1,79.01356010527527,16384,62062,conventional,204.14258307780779,62
memo,1000,1000,1000,1000,0.01,8,10.118335865162553,16384,62930,sharded,1594.138845855102,62
memo,1000,1000,1000,1000,0.01,128,0.9102008130176007,16384,77810,sharded,17721.399527856283,62
memo,1000,1000,1000,1000,0.01,32,2.8265664521882212,16384,65906,sharded,5706.581653361538,62
memo,1000,1000,1000,1000,0.01,16,5.413632574237928,16384,63922,sharded,2979.521058526054,62
memo,1000,1000,1000,1000,0.01,4,20.546654313876648,16384,62434,sharded,785.0442223662046,62
memo,1000,1000,1000,1000,0.01,6,12.265321179998068,16384,62682,sharded,1315.0925296900425,62
memo,1000,1000,1000,1000,0.01,2,38.201132116908454,16384,62186,sharded,422.2396396185624,62
memo,1000,1000,1000,1000,0.01,1,36.70629306141057,8192,123123,conventional,221.5173645349995,123
memo,1000,1000,1000,1000,0.01,9,4.824358132445822,8192,125091,sharded,1685.4224080356087,123
memo,1000,1000,1000,1000,0.01,4,10.459042342584528,8192,123861,sharded,777.421204970831,123
memo,1000,1000,1000,1000,0.01,6,7.043802237909995,8192,124353,sharded,1154.3596804934753,123
memo,1000,1000,1000,1000,0.01,2,20.728618752740825,8192,123369,sharded,392.26353660143815,123
memo,1000,1000,1000,1000,0.01,256,0.4928524419107725,8192,185853,sharded,16498.003478057402,123
memo,1000,1000,1000,1000,0.01,16,2.607851755188144,8192,126813,sharded,3117.9231275845236,123
memo,1000,1000,1000,1000,0.01,128,0.6154850778294736,8192,154365,sharded,13210.850423031388,123
memo,1000,1000,1000,1000,0.01,64,0.9232514066113818,8192,138621,sharded,8807.006675090364,123
memo,1000,1000,1000,1000,0.01,8,5.01791239342132,8192,124845,sharded,1620.4111716803136,123
memo,1000,1000,1000,1000,0.01,32,1.5259438561692833,8192,130749,sharded,5328.558628117031,123
memo,1000,1000,1000,1000,0.01,4,5.336453713292282,4096,246715,sharded,765.0460160259644,245
memo,1000,1000,1000,1000,0.01,2,9.087991958748487,4096,245735,sharded,449.2337439989819,245
memo,1000,1000,1000,1000,0.01,64,0.6123738157817379,4096,276115,sharded,6666.896179826793,245
memo,1000,1000,1000,1000,0.01,128,0.4745353122949535,4096,307475,sharded,8603.432763131465,245
memo,1000,1000,1000,1000,0.01,6,3.4785281290066252,4096,247695,sharded,1173.666706621434,245
memo,1000,1000,1000,1000,0.01,16,1.5273660261918098,4096,252595,sharded,2672.989043261932,245
memo,1000,1000,1000,1000,0.01,8,2.7301024940816934,4096,248675,sharded,1495.413693043225,245
memo,1000,1000,1000,1000,0.01,9,2.4776754028928205,4096,249165,sharded,1647.767358183614,245
memo,1000,1000,1000,1000,0.01,1,21.59534335873258,4096,245245,conventional,189.05152769475725,245
memo,1000,1000,1000,1000,0.01,256,0.41749792521346646,4096,370195,sharded,9778.809441924237,245
memo,1000,1000,1000,1000,0.01,32,0.9458723349516397,4096,260435,sharded,4316.2618275223795,245
memo,1000,1000,1000,1000,0.01,9,1.3970455151542407,2048,497313,sharded,1464.5118951799059,489
memo,1000,1000,1000,1000,0.01,32,0.6125856161101231,2048,519807,sharded,3339.924610119024,489
memo,1000,1000,1000,1000,0.01,1,10.19759227013309,2048,489489,conventional,200.6345930346186,489
memo,1000,1000,1000,1000,0.01,128,0.39651896200802506,2048,613695,sharded,5159.878772732479,489
