currency,nodes,wallets,miners,transactions,interval,shards,block size,mode,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,conflict_check,n_seeds,tps_mean,tps_std,tps_ci95_halfwidth,tps_n,average block time_mean,average block time_std,average block time_ci95_halfwidth,average block time_n,messages_mean,messages_std,messages_ci95_halfwidth,messages_n,broadcast_cpu_seconds_mean,broadcast_cpu_seconds_std,broadcast_cpu_seconds_ci95_halfwidth,broadcast_cpu_seconds_n,hop_p50_mean,hop_p50_std,hop_p50_ci95_halfwidth,hop_p50_n,hop_p90_mean,hop_p90_std,hop_p90_ci95_halfwidth,hop_p90_n,hop_p99_mean,hop_p99_std,hop_p99_ci95_halfwidth,hop_p99_n,hop_max_mean,hop_max_std,hop_max_ci95_halfwidth,hop_max_n
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,0.146484375,ed25519,gossip,direct,shard,nonce_hash_set,5,6866.551225,11.956762,14.843901,5,0.148626,0.000239,0.000297,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,0.29296875,ed25519,gossip,direct,shard,nonce_hash_set,5,3623.869754,6.666883,8.276701,5,0.281619,0.000481,0.000597,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,0.5859375,ed25519,gossip,direct,shard,nonce_hash_set,5,1863.661189,3.529565,4.381832,5,0.547606,0.000964,0.001197,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,1200.0,ed25519,gossip,direct,shard,nonce_hash_set,5,0.936718,0.001828,0.002269,5,1089.497017,1.979244,2.457162,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,150.0,ed25519,gossip,direct,shard,nonce_hash_set,5,7.492993,0.014618,0.018148,5,136.200805,0.247403,0.307142,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,18.75,ed25519,gossip,direct,shard,nonce_hash_set,5,59.895823,0.116754,0.144946,5,17.038779,0.030923,0.038390,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,1.171875,ed25519,gossip,direct,shard,nonce_hash_set,5,945.323677,1.816990,2.255729,5,1.079579,0.001930,0.002397,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,2.34375,ed25519,gossip,direct,shard,nonce_hash_set,5,476.108897,0.921982,1.144608,5,2.143526,0.003863,0.004796,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,300.0,ed25519,gossip,direct,shard,nonce_hash_set,5,3.746712,0.007310,0.009075,5,272.385978,0.494809,0.614288,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,37.5,ed25519,gossip,direct,shard,nonce_hash_set,5,29.961656,0.058431,0.072540,5,34.061926,0.061849,0.076783,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
