currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated
memo,1000,1000,1000,1000,0.01,128,8.925426117506403,262144,5020,sharded,28009.979210924845,4
memo,1000,1000,1000,1000,0.01,9,138.69267390183182,262144,4068,sharded,1802.5537540429382,4
memo,1000,1000,1000,1000,0.01,256,4.390324972701616,262144,6044,sharded,56943.62070107995,4
memo,1000,1000,1000,1000,0.01,1,491.73637856627363,262144,4004,conventional,508.4045250605883,4
memo,1000,1000,1000,1000,0.01,32,41.066298406847075,262144,4252,sharded,6087.741279314251,4
memo,1000,1000,1000,1000,0.01,4,222.3424196997201,262144,4028,sharded,1124.3963267901538,4
memo,1000,1000,1000,1000,0.01,6,233.0052824734778,262144,4044,sharded,1072.9413399820958,4
memo,1000,1000,1000,1000,0.01,2,808.5674212694996,262144,4012,sharded,309.19004825532465,4
memo,1000,1000,1000,1000,0.01,64,20.086213578091417,262144,4508,sharded,12446.397576528954,4
memo,1000,1000,1000,1000,0.01,8,135.56411433988958,262144,4060,sharded,1844.1532349275822,4
memo,1000,1000,1000,1000,0.01,16,88.87423164602164,262144,4124,sharded,2812.975092665018,4
memo,1000,1000,1000,1000,0.01,256,2.4635812955586047,131072,12088,sharded,50739.54743257484,8
memo,1000,1000,1000,1000,0.01,64,10.175118052834037,131072,9016,sharded,12284.968031912313,8
memo,1000,1000,1000,1000,0.01,9,61.974368567438546,131072,8136,sharded,2016.979000987769,8
memo,1000,1000,1000,1000,0.01,16,35.33560347785413,131072,8248,sharded,3537.536866416951,8
memo,1000,1000,1000,1000,0.01,4,123.9511821208206,131072,8056,sharded,1008.4696076408218,8
memo,1000,1000,1000,1000,0.01,32,18.465747391780177,131072,8504,sharded,6769.344199717733,8
memo,1000,1000,1000,1000,0.01,1,662.853655743394,131072,8008,conventional,188.58008689687423,8
memo,1000,1000,1000,1000,0.01,2,439.0318966077578,131072,8024,sharded,284.7196319124828,8
memo,1000,1000,1000,1000,0.01,6,84.98396791343279,131072,8088,sharded,1470.8774262850347,8
memo,1000,1000,1000,1000,0.01,8,89.46452147855324,131072,8120,sharded,1397.2130844064895,8
memo,1000,1000,1000,1000,0.01,128,5.6118478658411926,131072,10040,sharded,22274.481238322536,8
memo,1000,1000,1000,1000,0.01,9,32.71120731487892,65536,16272,sharded,1910.6907121575725,16
memo,1000,1000,1000,1000,0.01,8,41.01585951922764,65536,16240,sharded,1523.8251918309902,16
memo,1000,1000,1000,1000,0.01,32,8.991801822920161,65536,17008,sharded,6950.887178216556,16
memo,1000,1000,1000,1000,0.01,2,189.38990460187856,65536,16048,sharded,330.01231048394567,16
