currency,nodes,wallets,miners,transactions,interval,shards,block size,mode,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,conflict_check,n_seeds,tps_mean,tps_std,tps_ci95_halfwidth,tps_n,average block time_mean,average block time_std,average block time_ci95_halfwidth,average block time_n,messages_mean,messages_std,messages_ci95_halfwidth,messages_n,broadcast_cpu_seconds_mean,broadcast_cpu_seconds_std,broadcast_cpu_seconds_ci95_halfwidth,broadcast_cpu_seconds_n,hop_p50_mean,hop_p50_std,hop_p50_ci95_halfwidth,hop_p50_n,hop_p90_mean,hop_p90_std,hop_p90_ci95_halfwidth,hop_p90_n,hop_p99_mean,hop_p99_std,hop_p99_ci95_halfwidth,hop_p99_n,hop_max_mean,hop_max_std,hop_max_ci95_halfwidth,hop_max_n
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,0.146484375,ed25519,gossip,direct,shard,nonce_hash_set,5,3794.104027,3.583366,4.448623,5,0.268983,0.000237,0.000295,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,0.29296875,ed25519,gossip,direct,shard,nonce_hash_set,5,2538.833384,2.536307,3.148736,5,0.401976,0.000349,0.000433,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,0.5859375,ed25519,gossip,direct,shard,nonce_hash_set,5,1527.855813,1.992415,2.473513,5,0.667962,0.000777,0.000964,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,1200.0,ed25519,gossip,direct,shard,nonce_hash_set,5,0.936615,0.001827,0.002268,5,1089.617373,1.979019,2.456883,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,150.0,ed25519,gossip,direct,shard,nonce_hash_set,5,7.486377,0.014581,0.018102,5,136.321162,0.247179,0.306864,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,18.75,ed25519,gossip,direct,shard,nonce_hash_set,5,59.475700,0.114425,0.142055,5,17.159136,0.030700,0.038113,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,1.171875,ed25519,gossip,direct,shard,nonce_hash_set,5,850.504536,1.339187,1.662553,5,1.199936,0.001722,0.002138,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,2.34375,ed25519,gossip,direct,shard,nonce_hash_set,5,450.796901,0.787893,0.978142,5,2.263882,0.003647,0.004527,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,300.0,ed25519,gossip,direct,shard,nonce_hash_set,5,3.745057,0.007301,0.009063,5,272.506335,0.494585,0.614010,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,37.5,ed25519,gossip,direct,shard,nonce_hash_set,5,29.856159,0.057845,0.071812,5,34.182282,0.061625,0.076505,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,4.6875,ed25519,gossip,direct,shard,nonce_hash_set,5,232.377852,0.428830,0.532378,5,4.391776,0.007508,0.009321,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,600.0,ed25519,gossip,direct,shard,nonce_hash_set,5,1.872996,0.003653,0.004535,5,544.876681,0.989396,1.228301,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,75.0,ed25519,gossip,direct,shard,nonce_hash_set,5,14.957833,0.029082,0.036104,5,68.228575,0.123476,0.153291,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,9.375,ed25519,gossip,direct,shard,nonce_hash_set,5,118.016095,0.223902,0.277966,5,8.647562,0.015238,0.018917,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,0.146484375,ed25519,gossip,direct,shard,nonce_hash_set,5,404101.023187,909.942724,1129.661990,5,0.322948,0.000759,0.000943,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,0.29296875,ed25519,gossip,direct,shard,nonce_hash_set,5,289805.060832,629.155458,781.074443,5,0.450316,0.001008,0.001252,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,0.5859375,ed25519,gossip,direct,shard,nonce_hash_set,5,183020.468817,231.512103,287.414160,5,0.713054,0.000901,0.001119,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,1200.0,ed25519,gossip,direct,shard,nonce_hash_set,5,119.765536,0.233598,0.290003,5,1089.659177,1.978717,2.456507,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
