currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,seed,conflict_check,broadcast_cpu_seconds,hop_p50,hop_p90,hop_p99,hop_max
memo,1000,1024000,1000,1024000,0.01,128,0.5152924250706616,1024,12958126,sharded,1980.8247712161333,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.5136865840432215,1024,11341710,sharded,1986.892458756765,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.5144502496206426,1024,11790610,sharded,1983.1655262143008,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.5157658429789618,1024,13496686,sharded,1978.6963675328693,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.5154185526345446,1024,13406904,sharded,1980.1693105208485,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.6482723114924959,1024,12958126,sharded,1574.498836222184,1000,0.29296875,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.6467145239743666,1024,11341710,sharded,1578.1924824073606,1000,0.29296875,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.6478005678702176,1024,11790610,sharded,1574.9291535113289,1000,0.29296875,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.6486950157703079,1024,13496686,sharded,1573.2262082947125,1000,0.29296875,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.648095100044824,1024,13406904,sharded,1574.7935757104342,1000,0.29296875,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.9142327769723039,1024,12958126,sharded,1116.45964322161,1000,0.5859375,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.9127720428656054,1024,11341710,sharded,1118.1762280927758,1000,0.5859375,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.9145024974717054,1024,11790610,sharded,1115.6229784179086,1000,0.5859375,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.9145538980490295,1024,13496686,sharded,1115.8926796737444,1000,0.5859375,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.913448796260304,1024,13406904,sharded,1117.3215227590674,1000,0.5859375,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1089.7570408873005,1024,12958126,sharded,0.9366344622732824,1000,1200.0,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1090.1522543836006,1024,11341710,sharded,0.9362361962706718,1000,1200.0,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1092.7926473538528,1024,11790610,sharded,0.9336080385153251,1000,1200.0,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1089.341901442572,1024,13496686,sharded,0.9368445284703859,1000,1200.0,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1087.2727199166973,1024,13406904,sharded,0.9386936518357563,1000,1200.0,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,136.55415269301184,1024,12958126,sharded,7.474719588313438,1000,150.0,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,136.6021066773979,1024,11341710,sharded,7.471627084129548,1000,150.0,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,136.93254203747014,1024,11790610,sharded,7.45067596657062,1000,150.0,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,136.50271868048594,1024,13496686,sharded,7.476363913225812,1000,150.0,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,136.24398818840066,1024,13406904,sharded,7.491090165304569,1000,150.0,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,17.403791668726196,1024,12958126,sharded,58.648369242097836,1000,18.75,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,17.408338214122477,1024,11341710,sharded,58.62937561564653,1000,18.75,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,17.4500288729225,1024,11790610,sharded,58.466378905717654,1000,18.75,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,17.397820835225644,1024,13496686,sharded,58.65930047593595,1000,18.75,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,17.365396722363656,1024,13406904,sharded,58.772973420504776,1000,18.75,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1.4461540315450094,1024,12958126,sharded,705.8058669653075,1000,1.171875,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1.4448870806480847,1024,11341710,sharded,706.3804595319696,1000,1.171875,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1.4479065740991528,1024,11790610,sharded,704.6310986154373,1000,1.171875,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1.446272016663994,1024,13496686,sharded,705.6376589198009,1000,1.171875,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1.4441567938765383,1024,13406904,sharded,706.7210460301674,1000,1.171875,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,2.5099965406904183,1024,12958126,sharded,406.65554053681586,1000,2.34375,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,2.509117156213046,1024,11341710,sharded,406.77255642396113,1000,2.34375,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,2.5147147273540456,1024,11790610,sharded,405.7080466830864,1000,2.34375,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
