currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,seed,conflict_check,broadcast_cpu_seconds,hop_p50,hop_p90,hop_p99,hop_max
memo,1000,1024000,1000,1024000,0.01,128,0.14863226632186222,1024,12958126,sharded,6867.311017041698,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.1486622281552212,1024,11341710,sharded,6865.496452362663,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.14897256821264246,1024,11790610,sharded,6848.509173472234,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.14856087850216124,1024,13496686,sharded,6869.533960013257,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.14830427363934487,1024,13406904,sharded,6881.905524057887,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.2816121527436963,1024,12958126,sharded,3624.5026716903567,1000,0.29296875,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.2816901680863662,1024,11341710,sharded,3623.271649605718,1000,0.29296875,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.28232288646221787,1024,11790610,sharded,3613.7346595757995,1000,0.29296875,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.281490051293507,1024,13496686,sharded,3625.506462165828,1000,0.29296875,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.2809808210496233,1024,13406904,sharded,3632.333325055491,1000,0.29296875,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.5475726182235017,1024,12958126,sharded,1864.0523028917805,1000,0.5859375,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.5477476869776061,1024,11341710,sharded,1863.3396804133422,1000,0.5859375,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.5490248160637067,1024,11790610,sharded,1858.2766573553488,1000,0.5859375,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.5473489335722292,1024,13496686,sharded,1864.5217655573033,1000,0.5859375,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.5463345172651034,1024,13406904,sharded,1868.1155368126892,1000,0.5859375,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1089.390380728551,1024,12958126,sharded,0.9369497088062999,1000,1200.0,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1089.7872300277138,1024,11341710,sharded,0.9365497886904444,1000,1200.0,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1092.4271696724436,1024,11790610,sharded,0.9339203823591385,1000,1200.0,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1088.974696478093,1024,13496686,sharded,0.9371604347654651,1000,1200.0,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1086.9056056377,1024,13406904,sharded,0.9390107059031982,1000,1200.0,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,136.1874925342631,1024,12958126,sharded,7.494843917059443,1000,150.0,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
