currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,seed,conflict_check,broadcast_cpu_seconds,hop_p50,hop_p90,hop_p99,hop_max
memo,1000,1024000,1000,1024000,0.01,128,0.2691084217426627,1024,12958126,sharded,3792.909911143759,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.26860024676322075,1024,11341710,sharded,3799.847588746726,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.26906002114064226,1024,11790610,sharded,3791.867686900623,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.2692163919709612,1024,13496686,sharded,3790.794433163937,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.2689298993225445,1024,13406904,sharded,3795.100517164553,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.40208830816449664,1024,12958126,sharded,2538.507037569528,1000,0.29296875,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.40162818669436634,1024,11341710,sharded,2541.255902381905,1000,0.29296875,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.4024103393902178,1024,11790610,sharded,2535.3225305940064,1000,0.29296875,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.402145564762307,1024,13496686,sharded,2537.7477446585913,1000,0.29296875,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.4016064467328231,1024,13406904,sharded,2541.3337069237477,1000,0.29296875,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.6680487736443024,1024,12958126,sharded,1527.8884420847187,1000,0.5859375,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.6676857055856058,1024,11341710,sharded,1528.6234098793973,1000,0.5859375,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.669112268991706,1024,11790610,sharded,1524.766541102905,1000,0.5859375,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.6680044470410302,1024,13496686,sharded,1527.7503084306802,1000,0.5859375,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,0.6669601429483024,1024,13406904,sharded,1530.2503617208056,1000,0.5859375,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1089.5108568839714,1024,12958126,sharded,0.9368461025888619,1000,1200.0,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1089.9071680463205,1024,11341710,sharded,0.9364467267698741,1000,1200.0,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1092.5472571253697,1024,11790610,sharded,0.9338177303967434,1000,1200.0,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1089.095351991561,1024,13496686,sharded,0.9370566113736456,1000,1200.0,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,1087.0262312633836,1024,13406904,sharded,0.9389065053322595,1000,1200.0,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,136.30796868968426,1024,12958126,sharded,7.488219579617626,1000,150.0,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,136.35702034011763,1024,11341710,sharded,7.485056489605012,1000,150.0,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,136.68715180899014,1024,11790610,sharded,7.464051935369226,1000,150.0,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,136.25616922947813,1024,13496686,sharded,7.48989205972196,1000,150.0,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
