block,rounds,messages,coverage
1,5,10220,1.000000
2,5,10230,1.000000
3,4,6580,1.000000
4,4,6600,1.000000
5,5,10230,1.000000
6,5,10200,1.000000
7,5,10220,1.000000
8,5,10220,1.000000
9,5,10230,1.000000
10,5,10210,1.000000
11,5,10230,1.000000
12,5,10210,1.000000
13,5,10220,1.000000
14,5,10230,1.000000
15,4,6620,1.000000
16,5,10220,1.000000
17,5,10210,1.000000
18,5,10200,1.000000
19,4,6690,1.000000
20,5,10220,1.000000
21,6,10230,0.999023
22,4,6730,1.000000
23,4,6680,1.000000
24,5,10230,1.000000
25,5,10220,1.000000
26,5,10230,1.000000
27,4,6620,1.000000
28,5,10210,1.000000
29,4,6570,1.000000
30,5,10210,1.000000
31,5,10220,1.000000
32,5,10220,1.000000
33,5,10210,1.000000
34,5,10220,1.000000
35,5,10230,1.000000
36,5,10220,1.000000
37,5,10210,1.000000
38,6,10230,0.999023
39,5,10220,1.000000
40,4,6600,1.000000
41,5,10230,1.000000
42,5,10220,1.000000
43,5,10230,0.999023
44,5,10230,1.000000
45,5,10210,1.000000
46,4,6830,1.000000
47,5,10230,1.000000
48,5,10220,1.000000
49,5,10210,1.000000
50,5,10220,1.000000
51,5,10220,1.000000
52,5,10230,1.000000
53,5,10230,1.000000
54,5,10210,1.000000
55,5,10220,1.000000
56,5,10220,1.000000
57,5,10230,1.000000
58,5,10230,1.000000
59,5,10220,1.000000
60,6,10230,0.999023
61,5,10230,1.000000
62,5,10220,1.000000
63,4,6650,1.000000
64,5,10230,0.999023
65,5,10210,1.000000
66,5,10230,1.000000
67,5,10210,1.000000
68,5,10230,1.000000
69,5,10220,1.000000
70,5,10190,1.000000
71,5,10220,1.000000
72,5,10220,1.000000
73,5,10230,1.000000
74,5,10230,1.000000
75,4,6800,1.000000
76,4,6670,1.000000
77,5,10220,1.000000
78,5,10230,1.000000
79,5,10220,1.000000
80,5,10220,1.000000
81,4,6610,1.000000
82,5,10220,1.000000
83,5,10230,1.000000
84,4,6610,1.000000
85,5,10230,1.000000
86,5,10220,1.000000
87,5,10230,1.000000
88,5,10230,1.000000
89,5,10230,1.000000
90,5,10230,1.000000
91,5,10230,1.000000
92,4,6630,1.000000
93,4,6400,1.000000
94,5,10230,1.000000
95,5,10230,1.000000
96,5,10230,1.000000
97,5,10230,1.000000
98,5,10230,1.000000
99,4,6780,1.000000
100,4,6590,1.000000
101,5,10210,1.000000
102,5,10230,1.000000
103,4,6640,1.000000
104,5,10220,1.000000
105,5,10220,1.000000
106,5,10230,1.000000
107,5,10230,1.000000
108,5,10230,1.000000
109,5,10210,1.000000
110,4,6440,1.000000
111,6,10230,0.999023
112,4,6600,1.000000
113,5,10200,1.000000
114,5,10220,1.000000
115,5,10210,1.000000
116,5,10220,1.000000
117,4,6570,1.000000
118,5,10230,1.000000
119,4,6480,1.000000
120,5,10200,1.000000
121,5,10230,1.000000
122,5,10200,1.000000
123,5,10220,1.000000
124,5,10230,1.000000
125,5,10190,1.000000
126,4,6700,1.000000
127,4,6610,1.000000
128,5,10220,1.000000
129,5,10220,1.000000
130,5,10230,0.999023
131,5,10230,1.000000
132,5,10230,1.000000
133,5,10230,1.000000
134,5,10220,1.000000
135,5,10200,1.000000
136,4,6650,1.000000
137,5,10220,1.000000
138,5,10230,1.000000
139,5,10230,1.000000
140,5,10230,1.000000
141,5,10230,1.000000
142,4,6770,1.000000
143,5,10210,1.000000
144,5,10210,1.000000
145,4,6630,1.000000
146,4,6880,1.000000
147,5,10220,1.000000
148,5,10200,1.000000
149,5,10230,1.000000
150,5,10230,1.000000
151,5,10230,1.000000
152,5,10200,1.000000
153,5,10210,1.000000
154,4,6570,1.000000
155,4,6730,1.000000
156,5,10220,1.000000
157,6,10230,0.999023
158,5,10230,1.000000
159,5,10210,1.000000
160,5,10200,1.000000
161,4,6690,1.000000
162,5,10230,1.000000
163,5,10230,1.000000
164,4,6590,1.000000
165,5,10230,1.000000
166,5,10220,1.000000
167,5,10210,1.000000
168,6,10230,0.999023
169,5,10230,1.000000
170,5,10230,1.000000
171,4,6710,1.000000
172,4,6440,1.000000
173,5,10220,1.000000
174,5,10230,1.000000
175,5,10230,1.000000
176,5,10220,1.000000
177,6,10230,0.999023
178,5,10230,1.000000
179,5,10210,1.000000
180,5,10220,1.000000
181,5,10230,1.000000
182,5,10220,1.000000
183,5,10220,1.000000
184,5,10220,1.000000
185,5,10230,1.000000
186,4,6600,1.000000
187,5,10230,1.000000
188,4,6840,1.000000
189,5,10190,1.000000
190,5,10220,1.000000
191,4,6790,1.000000
192,5,10220,1.000000
193,4,6520,1.000000
194,5,10220,1.000000
195,5,10230,1.000000
196,5,10220,1.000000
197,5,10230,1.000000
198,4,6580,1.000000
199,5,10220,1.000000
200,5,10230,1.000000
201,5,10230,0.999023
202,5,10230,1.000000
203,5,10210,1.000000
204,5,10200,1.000000
205,4,6700,1.000000
206,5,10210,1.000000
207,5,10200,1.000000
208,5,10210,1.000000
209,5,10210,1.000000
210,5,10220,1.000000
211,4,6840,1.000000
212,5,10220,1.000000
213,5,10220,1.000000
214,5,10210,1.000000
215,5,10230,1.000000
216,5,10220,1.000000
217,5,10200,1.000000
218,6,10230,0.999023
219,4,6570,1.000000
220,4,6600,1.000000
221,5,10200,1.000000
222,5,10220,1.000000
223,5,10230,1.000000
224,5,10190,1.000000
225,5,10200,1.000000
226,4,6830,1.000000
227,5,10230,1.000000
228,4,6650,1.000000
229,5,10220,1.000000
230,5,10220,1.000000
231,5,10200,1.000000
232,5,10200,1.000000
233,5,10210,1.000000
234,5,10230,1.000000
235,5,10230,1.000000
236,4,6650,1.000000
237,4,6560,1.000000
238,4,6550,1.000000
239,5,10210,1.000000
240,5,10230,1.000000
241,5,10230,1.000000
242,4,6560,1.000000
243,5,10230,1.000000
244,5,10230,1.000000
245,5,10220,1.000000
246,4,6590,1.000000
247,4,6710,1.000000
248,5,10210,1.000000
249,5,10210,1.000000
250,5,10210,1.000000
251,5,10230,1.000000
252,5,10220,1.000000
253,4,6710,1.000000
254,5,10220,1.000000
255,5,10220,1.000000
256,4,6770,1.000000
257,5,10230,1.000000
258,5,10230,1.000000
259,5,10230,1.000000
260,5,10210,1.000000
261,5,10220,1.000000
262,4,6560,1.000000
263,5,10230,1.000000
264,5,10210,1.000000
265,5,10230,1.000000
266,5,10230,1.000000
267,5,10210,1.000000
268,5,10230,1.000000
269,6,10230,0.999023
270,5,10230,1.000000
271,6,10230,0.999023
272,4,6450,1.000000
273,5,10230,1.000000
274,5,10230,1.000000
275,5,10220,1.000000
276,5,10210,1.000000
277,5,10220,1.000000
278,4,6590,1.000000
279,5,10230,0.999023
280,5,10210,1.000000
281,5,10210,1.000000
282,4,6660,1.000000
283,5,10230,1.000000
284,5,10220,1.000000
285,5,10230,0.999023
286,5,10230,0.999023
287,5,10210,1.000000
288,5,10220,1.000000
289,4,6500,1.000000
290,5,10220,1.000000
291,5,10220,1.000000
292,5,10230,1.000000
293,5,10230,1.000000
294,5,10230,1.000000
295,5,10230,1.000000
296,5,10210,1.000000
297,4,6610,1.000000
298,5,10230,1.000000
299,5,10230,1.000000
300,4,6620,1.000000
