block,rounds,messages,coverage
1,4,10020,1.000000
2,4,10080,1.000000
3,4,9948,1.000000
4,4,10116,1.000000
5,4,10224,1.000000
6,4,10224,1.000000
7,4,10140,1.000000
8,4,10044,1.000000
9,4,10104,1.000000
10,4,9732,1.000000
11,4,9948,1.000000
12,4,10044,1.000000
13,4,10248,1.000000
14,4,10308,1.000000
15,4,9864,1.000000
16,4,10044,1.000000
17,4,10164,1.000000
18,4,10032,1.000000
19,4,9912,1.000000
20,4,10116,1.000000
21,4,10236,1.000000
22,4,10092,1.000000
23,4,10140,1.000000
24,4,10200,1.000000
25,5,12276,1.000000
26,4,10056,1.000000
27,4,10368,1.000000
28,4,10248,1.000000
29,4,10272,1.000000
30,4,10080,1.000000
31,4,10140,1.000000
32,4,10176,1.000000
33,4,10092,1.000000
34,4,10308,1.000000
35,4,9852,1.000000
36,4,9924,1.000000
37,4,10344,1.000000
38,4,10212,1.000000
39,4,10032,1.000000
40,4,9876,1.000000
41,4,10236,1.000000
42,4,9912,1.000000
43,4,10116,1.000000
44,4,10092,1.000000
45,4,10272,1.000000
46,4,10260,1.000000
47,4,10260,1.000000
48,4,10224,1.000000
49,4,9948,1.000000
50,4,10188,1.000000
51,4,10104,1.000000
52,4,10200,1.000000
53,4,10260,1.000000
54,4,9936,1.000000
55,4,10248,1.000000
56,4,10200,1.000000
57,4,10212,1.000000
58,4,10188,1.000000
59,4,10284,1.000000
60,4,10260,1.000000
61,4,10188,1.000000
62,4,10188,1.000000
63,4,10236,1.000000
64,4,9948,1.000000
65,4,10116,1.000000
66,4,10284,1.000000
67,4,10044,1.000000
68,4,10152,1.000000
69,4,9708,1.000000
70,4,10032,1.000000
71,5,12276,0.999023
72,4,10428,1.000000
73,4,10224,1.000000
74,4,10176,1.000000
75,4,9948,1.000000
76,4,10092,1.000000
77,4,9888,1.000000
78,4,10044,1.000000
79,4,10056,1.000000
80,4,9972,1.000000
81,4,9864,1.000000
82,5,12276,0.999023
83,5,12276,1.000000
84,4,10152,1.000000
85,4,9948,1.000000
86,4,9804,1.000000
87,5,12276,1.000000
88,4,10104,1.000000
89,5,12276,1.000000
90,4,10164,1.000000
91,4,9960,1.000000
92,4,9996,1.000000
93,4,9972,1.000000
94,4,10140,1.000000
95,4,10080,1.000000
96,4,10308,1.000000
97,4,10104,1.000000
98,4,10308,1.000000
99,4,10080,1.000000
100,4,10176,1.000000
101,4,10140,1.000000
102,4,10176,1.000000
103,4,10260,1.000000
104,4,9996,1.000000
105,4,10320,1.000000
106,4,9984,1.000000
107,4,9900,1.000000
108,4,10032,1.000000
109,4,10224,1.000000
110,4,9900,1.000000
111,5,12276,0.999023
112,4,10080,1.000000
113,4,9960,1.000000
114,4,10116,1.000000
115,4,9816,1.000000
116,4,10428,1.000000
117,4,10368,1.000000
118,4,10212,1.000000
119,4,10224,1.000000
120,4,10164,1.000000
121,5,12276,0.999023
122,4,10188,1.000000
123,4,10092,1.000000
124,5,12276,1.000000
125,4,10272,1.000000
126,4,10140,1.000000
127,4,10284,1.000000
128,4,9948,1.000000
129,4,10044,1.000000
130,4,10080,1.000000
131,4,10176,1.000000
132,4,10284,1.000000
133,4,10224,1.000000
134,4,10008,1.000000
135,4,10020,1.000000
136,4,10212,1.000000
137,4,9864,1.000000
138,4,10032,1.000000
139,4,10200,1.000000
140,4,10284,1.000000
141,4,10224,1.000000
142,5,12276,1.000000
143,4,10092,1.000000
144,4,10128,1.000000
145,4,9744,1.000000
146,4,10032,1.000000
147,4,10296,1.000000
148,4,10080,1.000000
149,4,10008,1.000000
150,4,10116,1.000000
151,4,10176,1.000000
152,4,9924,1.000000
153,4,10020,1.000000
154,4,10140,1.000000
155,4,9912,1.000000
156,4,9996,1.000000
157,4,10464,1.000000
158,5,12276,1.000000
159,4,10272,1.000000
160,4,10080,1.000000
161,4,10212,1.000000
162,4,9804,1.000000
163,4,10188,1.000000
164,4,9996,1.000000
165,4,10080,1.000000
166,4,10092,1.000000
167,4,9960,1.000000
