block,rounds,messages,coverage
1,2,137408,1.000000
2,4,39851,1.000000
3,6,16795,1.000000
4,9,3330,1.000000
5,11,3557,1.000000
6,11,3557,1.000000
7,10,3567,1.000000
8,11,3587,1.000000
9,11,3553,1.000000
10,10,3553,1.000000
11,10,3573,1.000000
12,11,3556,1.000000
13,10,3559,0.999023
14,9,3516,1.000000
15,11,3580,1.000000
16,10,3543,1.000000
17,10,3554,1.000000
18,11,3583,1.000000
19,11,3547,1.000000
20,10,3568,1.000000
21,12,3571,1.000000
22,10,3536,1.000000
23,10,3572,0.998047
24,11,3547,0.999023
25,11,3592,1.000000
26,10,3562,1.000000
27,12,3573,0.999023
28,10,3566,1.000000
29,10,3540,1.000000
30,10,3528,1.000000
31,11,3573,1.000000
32,9,3520,1.000000
33,10,3546,1.000000
34,10,3553,1.000000
35,9,3592,1.000000
36,10,3563,1.000000
37,10,3516,1.000000
38,11,3543,1.000000
39,11,3555,0.996094
40,12,3561,1.000000
41,12,3536,1.000000
42,9,3541,1.000000
43,11,3548,1.000000
44,9,3541,1.000000
45,9,3503,1.000000
46,10,3572,1.000000
47,9,3481,1.000000
48,10,3549,1.000000
49,11,3535,1.000000
50,11,3560,1.000000
51,11,3575,1.000000
52,11,3555,1.000000
53,9,3539,1.000000
54,11,3533,1.000000
55,10,3567,1.000000
56,11,3550,1.000000
57,10,3568,1.000000
58,10,3574,1.000000
59,10,3568,1.000000
60,9,3467,1.000000
61,10,3513,1.000000
62,10,3551,1.000000
63,12,3548,0.997070
64,10,3595,1.000000
65,10,3583,1.000000
66,11,3580,1.000000
67,10,3515,1.000000
68,11,3557,1.000000
69,10,3540,1.000000
70,11,3552,1.000000
71,11,3562,1.000000
72,10,3539,1.000000
73,11,3530,0.999023
74,11,3487,1.000000
75,10,3542,1.000000
76,11,3562,1.000000
77,10,3562,1.000000
78,10,3537,1.000000
79,10,3559,1.000000
80,10,3551,1.000000
81,10,3555,1.000000
82,12,3585,1.000000
83,9,3511,1.000000
84,11,3530,0.999023
85,11,3547,1.000000
86,11,3552,1.000000
87,10,3576,1.000000
88,11,3548,1.000000
89,10,3555,1.000000
90,11,3558,0.998047
91,10,3529,1.000000
92,11,3573,1.000000
93,10,3548,1.000000
94,9,3509,1.000000
95,10,3514,1.000000
96,10,3574,1.000000
97,10,3553,1.000000
98,10,3524,1.000000
99,10,3531,1.000000
100,12,3532,1.000000
101,10,3520,1.000000
102,10,3527,1.000000
103,10,3550,1.000000
104,11,3546,1.000000
105,12,3592,0.999023
106,10,3541,1.000000
107,10,3503,1.000000
108,10,3540,1.000000
109,11,3556,1.000000
110,11,3585,1.000000
111,10,3547,1.000000
112,11,3548,1.000000
113,10,3540,1.000000
114,10,3537,1.000000
115,12,3576,0.999023
116,11,3539,0.999023
117,9,3540,1.000000
118,11,3558,0.999023
119,12,3530,1.000000
120,10,3566,1.000000
121,12,3613,1.000000
122,10,3576,1.000000
123,10,3585,1.000000
124,12,3620,1.000000
125,10,3477,1.000000
126,10,3518,1.000000
127,11,3559,1.000000
128,10,3513,1.000000
129,12,3531,0.999023
130,9,3492,1.000000
131,10,3543,1.000000
132,11,3560,0.999023
133,10,3568,0.998047
134,11,3572,1.000000
135,9,3536,1.000000
136,10,3554,1.000000
137,9,3542,1.000000
138,9,3542,1.000000
139,10,3554,1.000000
140,11,3580,1.000000
141,10,3559,1.000000
142,10,3526,1.000000
143,12,3535,1.000000
144,11,3555,1.000000
145,10,3536,1.000000
146,10,3586,1.000000
147,11,3547,1.000000
148,11,3539,0.999023
149,11,3574,0.999023
150,11,3575,1.000000
151,9,3531,1.000000
152,12,3550,0.999023
153,10,3555,1.000000
154,10,3526,1.000000
155,12,3567,0.999023
156,10,3583,1.000000
157,9,3479,1.000000
158,11,3566,1.000000
159,13,3591,0.998047
160,11,3558,1.000000
161,11,3519,0.999023
162,11,3560,1.000000
163,10,3522,1.000000
164,10,3582,1.000000
165,10,3561,1.000000
166,10,3541,1.000000
167,11,3569,1.000000
168,14,3553,0.996094
169,10,3551,1.000000
170,13,3570,1.000000
171,10,3586,1.000000
172,12,3573,1.000000
173,11,3531,0.999023
174,12,3531,0.996094
175,11,3568,1.000000
176,13,3565,0.999023
177,11,3562,1.000000
178,12,3566,1.000000
179,10,3588,1.000000
180,11,3569,0.998047
181,9,3552,1.000000
182,13,3556,1.000000
183,10,3543,1.000000
184,10,3564,1.000000
185,10,3562,1.000000
186,10,3520,1.000000
187,10,3569,1.000000
188,10,3558,0.999023
189,10,3562,1.000000
190,12,3556,1.000000
191,11,3521,1.000000
192,11,3554,1.000000
193,12,3577,0.999023
194,9,3468,1.000000
195,9,3496,1.000000
196,11,3519,1.000000
197,11,3574,1.000000
198,10,3547,1.000000
199,12,3588,1.000000
200,10,3550,1.000000
201,11,3551,1.000000
202,10,3566,1.000000
203,9,3461,1.000000
204,11,3563,1.000000
205,11,3569,1.000000
206,11,3562,0.997070
207,10,3561,1.000000
208,9,3506,0.999023
209,11,3543,1.000000
210,10,3514,1.000000
211,9,3460,1.000000
212,10,3508,1.000000
213,10,3536,1.000000
214,13,3579,0.997070
215,11,3570,1.000000
216,11,3532,0.999023
217,10,3520,1.000000
218,10,3577,1.000000
219,11,3542,1.000000
220,11,3559,0.998047
221,10,3573,1.000000
222,10,3522,1.000000
223,12,3574,1.000000
224,10,3530,1.000000
225,11,3591,1.000000
226,11,3574,1.000000
227,10,3583,1.000000
228,11,3548,1.000000
229,11,3546,1.000000
230,11,3586,1.000000
231,9,3536,1.000000
232,12,3576,1.000000
233,10,3558,1.000000
234,11,3554,1.000000
235,11,3592,1.000000
236,10,3561,1.000000
237,13,3533,1.000000
238,10,3528,1.000000
239,10,3537,1.000000
240,11,3548,1.000000
241,11,3596,1.000000
242,13,3567,1.000000
243,8,3442,1.000000
244,11,3554,1.000000
245,13,3582,1.000000
246,11,3522,1.000000
247,10,3546,1.000000
248,11,3585,1.000000
249,11,3571,0.999023
250,10,3553,1.000000
251,11,3518,1.000000
252,10,3518,1.000000
253,10,3556,1.000000
254,10,3557,0.997070
255,11,3532,1.000000
256,10,3524,1.000000
257,10,3562,1.000000
258,10,3543,1.000000
259,11,3594,0.999023
260,9,3555,1.000000
261,10,3538,1.000000
262,10,3544,1.000000
263,11,3577,0.999023
264,10,3547,1.000000
265,12,3563,0.999023
266,11,3550,0.997070
267,10,3559,1.000000
268,11,3561,0.999023
269,10,3520,1.000000
270,10,3542,1.000000
271,11,3571,1.000000
272,14,3540,0.999023
273,8,3472,1.000000
274,9,3505,1.000000
275,11,3557,1.000000
276,10,3514,1.000000
277,12,3569,0.999023
278,11,3554,1.000000
279,11,3549,0.997070
280,11,3557,1.000000
281,10,3537,1.000000
282,12,3558,0.997070
283,11,3579,0.999023
284,9,3537,1.000000
285,9,3550,1.000000
286,12,3551,0.996094
287,9,3561,1.000000
288,10,3577,1.000000
289,10,3575,1.000000
290,9,3509,1.000000
291,11,3565,1.000000
292,10,3540,1.000000
293,11,3540,0.999023
294,10,3564,1.000000
295,11,3552,1.000000
296,10,3528,1.000000
297,9,3539,1.000000
298,9,3535,1.000000
299,10,3565,1.000000
300,11,3571,1.000000
